           nearest  nearest_latlon  obs_stn latlon
num  stnid ygd-xgd  lat-lon(model)  lat-lon(input)  grass urban water  STN_NAME
  4  47092 212 282  38.054 128.576  38.067 128.667  0.881 0.119 0.000  ( Yangyang Airport )DIDDIDRHD
  5  47153 238 285  35.188 128.920  35.169 128.934  0.600 0.211 0.189  ( Gimhae Airport )  RLAGORHD
  6  47128 224 274  36.744 127.450  36.717 127.500  0.791 0.209 0.000  ( Cheongju Airport )CJDWNRHD
  7  47142 232 283  35.853 128.666  35.891 128.661  0.803 0.197 0.000  ( Daegu Airport )   EORNRHD 
  8  47151 234 288  35.621 129.337  35.593 129.352  0.785 0.127 0.087  ( Ulsan Airport )   DNFTKSRHD
  9  47167 241 275  34.873 127.573  34.847 127.613  0.831 0.169 0.000  ( Yeosu Airport )   DUTNRHD 
 10  47166 241 267  34.874 126.501  34.758 126.381  0.841 0.159 0.000  ( Mokpo Airport )   AHRVHRHD
 11  47161 239 279  35.089 128.112  35.083 128.067  0.870 0.130 0.000  ( Sacheon Airport ) TKCJSRHD
 12  47139 231 289  35.948 129.483  35.989 129.417  0.852 0.148 0.000  ( Pohang Airport )  VHGKDRHD
 13  47158 239 269  35.095 126.768  35.130 126.803  0.790 0.193 0.017  ( Gwangju Airport ) RHKDWNRHD
 14  47163 240 267  34.984 126.501  34.991 126.383  0.807 0.172 0.020  ( Muan Airport )    ANDKSRHD
  1  47262 243 275  34.653 127.571  34.448 127.535  0.865 0.117 0.018  ( Narodo  )         SKFHEH
 97  47177 225 268  36.635 126.627  36.658 126.688  0.859 0.141 0.000  ( Hongseong )       GHD TJD
  1  47551 222 272  36.965 127.176  36.992 127.112  0.784 0.216 0.000  ( Pyeongtaek )      VUD XOR
  2  47283 232 287  35.843 129.208  35.817 129.201  0.878 0.122 0.000  ( Gyeongju )        RUD WN
  3  47266 240 276  34.983 127.708  34.943 127.691  0.777 0.185 0.038  ( Gwangyang )       RHKD DID
  4  47710 240 269  34.985 126.769  35.025 126.744  0.839 0.141 0.020  ( Naju )            SK WN
